シャア,,,1,名詞,一般,*,*,*,*,シャア,シャア,シャア
シャアア,,,1,名詞,一般,*,*,*,*,シャアア,シャアア,シャアア
シャアアア,,,1,名詞,一般,*,*,*,*,シャアアア,シャアアア,シャアアア
シュウ,,,1,名詞,一般,*,*,*,*,シュウ,シュウ,シュウ
シュウウ,,,1,名詞,一般,*,*,*,*,シュウウ,シュウウ,シュウウ
シュウウウ,,,1,名詞,一般,*,*,*,*,シュウウウ,シュウウウ,シュウウウ
ショオ,,,1,名詞,一般,*,*,*,*,ショオ,ショオ,ショオ
ショオオ,,,1,名詞,一般,*,*,*,*,ショオオ,ショオオ,ショオオ
ショオオオ,,,1,名詞,一般,*,*,*,*,ショオオオ,ショオオオ,ショオオオ
ジャア,,,1,名詞,一般,*,*,*,*,ジャア,ジャア,ジャア
ジャアア,,,1,名詞,一般,*,*,*,*,ジャアア,ジャアア,ジャアア
ジャアアア,,,1,名詞,一般,*,*,*,*,ジャアアア,ジャアアア,ジャアアア
ジュウ,,,1,名詞,一般,*,*,*,*,ジュウ,ジュウ,ジュウ
ジュウウ,,,1,名詞,一般,*,*,*,*,ジュウウ,ジュウウ,ジュウウ
ジュウウウ,,,1,名詞,一般,*,*,*,*,ジュウウウ,ジュウウウ,ジュウウウ
ジョオ,,,1,名詞,一般,*,*,*,*,ジョオ,ジョオ,ジョオ
じょう,,,1,名詞,一般,*,*,*,*,じょう,ジョオ,ジョオ
ジョウ,,,1,名詞,一般,*,*,*,*,ジョウ,ジョオ,ジョオ
ジョオオ,,,1,名詞,一般,*,*,*,*,ジョオオ,ジョオオ,ジョオオ
ジョオオオ,,,1,名詞,一般,*,*,*,*,ジョオオオ,ジョオオオ,ジョオオオ
きゃあ,,,1,名詞,一般,*,*,*,*,きゃあ,キャア,キャア
キャア,,,1,名詞,一般,*,*,*,*,キャア,キャア,キャア
キャー,,,1,名詞,一般,*,*,*,*,キャー,キャア,キャア
キャアア,,,1,名詞,一般,*,*,*,*,キャアア,キャアア,キャアア
キャアアア,,,1,名詞,一般,*,*,*,*,キャアアア,キャアアア,キャアアア
きゅう,,,1,名詞,一般,*,*,*,*,きゅう,キュウ,キュウ
キュウ,,,1,名詞,一般,*,*,*,*,キュウ,キュウ,キュウ
キュー,,,1,名詞,一般,*,*,*,*,キュー,キュウ,キュウ
キュウウ,,,1,名詞,一般,*,*,*,*,キュウウ,キュウウ,キュウウ
キュウウウ,,,1,名詞,一般,*,*,*,*,キュウウウ,キュウウウ,キュウウウ
きょう,,,1,名詞,一般,*,*,*,*,きょう,キョオ,キョオ
きょお,,,1,名詞,一般,*,*,*,*,きょお,キョオ,キョオ
きょー,,,1,名詞,一般,*,*,*,*,きょー,キョオ,キョオ
キョー,,,1,名詞,一般,*,*,*,*,キョー,キョオ,キョオ
キョウ,,,1,名詞,一般,*,*,*,*,キョオ,キョオ,キョオ
キョオ,,,1,名詞,一般,*,*,*,*,キョオ,キョオ,キョオ
キョオオ,,,1,名詞,一般,*,*,*,*,キョオオ,キョオオ,キョオオ
キョオオオ,,,1,名詞,一般,*,*,*,*,キョオオオ,キョオオオ,キョオオオ
ぎゃあ,,,1,名詞,一般,*,*,*,*,ぎゃあ,ギャア,ギャア
ギャア,,,1,名詞,一般,*,*,*,*,ギャア,ギャア,ギャア
ギャー,,,1,名詞,一般,*,*,*,*,ギャー,ギャア,ギャア
ギャアア,,,1,名詞,一般,*,*,*,*,ギャアア,ギャアア,ギャアア
ギャアアア,,,1,名詞,一般,*,*,*,*,ギャアアア,ギャアアア,ギャアアア
ぎゅう,,,1,名詞,一般,*,*,*,*,ぎゅう,ギュウ,ギュウ
ギュウ,,,1,名詞,一般,*,*,*,*,ギュウ,ギュウ,ギュウ
ギュー,,,1,名詞,一般,*,*,*,*,ギュー,ギュウ,ギュウ
